MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SaleType,SaleCondition,SalePrice,YearBuilt_Old,YearRemodAdd_Old,GarageYrBlt_Old,YrSold_Old
20,RL,11200,3,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,3,906,1,0,134,1040,GasA,4,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,2,5,Typ,0,Detchd,1,1,384,3,3,Y,0,0,0,0,0,0,WD,Normal,129500,45,45,45.0,2
60,RL,11924,0,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,4,2,PConc,5,3,1,6,998,1,0,177,1175,GasA,4,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,4,11,Typ,2,BuiltIn,3,3,736,3,3,Y,147,21,0,0,0,0,New,Partial,345000,5,4,5.0,4
20,RL,12968,1,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,2,2,CBlock,3,3,1,5,737,1,0,175,912,GasA,2,1,SBrkr,912,0,0,912,1,0,1,0,2,1,2,4,Typ,0,Detchd,1,1,352,3,3,Y,140,0,0,0,176,0,WD,Normal,144000,48,48,48.0,2
20,RL,10652,0,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,2,PConc,4,3,3,1,0,1,0,1494,1494,GasA,4,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,3,7,Typ,1,Attchd,2,3,840,3,3,Y,160,33,0,0,0,0,New,Partial,279500,4,3,4.0,3
20,RL,10920,0,Lvl,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,2,2,CBlock,3,3,1,4,733,1,0,520,1253,GasA,2,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,2,5,Typ,1,Attchd,2,1,352,3,3,Y,0,213,176,0,0,0,WD,Normal,157000,50,50,50.0,2
45,RM,6120,3,Lvl,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,1,1,0,1,0,832,832,GasA,4,1,FuseA,854,0,0,854,0,0,1,0,2,1,2,5,Typ,0,Detchd,1,2,576,3,3,Y,48,112,0,0,0,0,WD,Normal,132000,81,9,19.0,3
20,RL,11241,0,Lvl,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,2,CBlock,3,3,1,5,578,1,0,426,1004,GasA,4,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,2,5,Typ,1,Attchd,3,2,480,3,3,Y,0,0,0,0,0,700,WD,Normal,149000,40,40,40.0,0
90,RL,10791,3,Lvl,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,Slab,3,3,1,1,0,1,0,0,0,GasA,2,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,2,6,Typ,0,CarPort,1,2,516,3,3,Y,0,0,0,0,0,500,WD,Normal,90000,43,43,43.0,4
20,RL,13695,3,Lvl,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,1,6,646,1,0,468,1114,GasA,4,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,3,6,Typ,0,Detchd,1,2,576,3,3,Y,0,102,0,0,0,0,WD,Normal,159000,6,6,6.0,2
20,RL,7560,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,2,2,CBlock,3,3,1,2,504,1,0,525,1029,GasA,2,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,2,6,Min1,0,Attchd,1,1,294,3,3,Y,0,0,0,0,0,0,COD,Abnorml,139000,52,45,52.0,1
60,RL,14215,0,Lvl,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,2,PConc,5,3,3,1,0,1,0,1158,1158,GasA,4,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,3,9,Typ,1,BuiltIn,2,3,853,3,3,Y,240,154,0,0,0,0,New,Partial,325300,5,4,5.0,4
45,RM,7449,3,Bnk,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,1,0,1,0,637,637,GasA,4,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,3,6,Typ,1,Attchd,1,1,280,3,3,N,0,0,205,0,0,0,WD,Normal,139400,80,60,80.0,3
20,RL,9742,3,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,2,PConc,4,3,1,1,0,1,0,1777,1777,GasA,4,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,3,7,Typ,1,Attchd,2,2,534,3,3,Y,171,159,0,0,0,0,WD,Normal,230000,8,8,8.0,2
120,RM,4224,3,Lvl,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,4,3,1,6,840,1,0,200,1040,GasA,2,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,2,6,Typ,1,Attchd,1,2,572,3,3,Y,100,110,0,0,0,0,WD,Normal,129900,34,34,34.0,3
20,RL,8246,0,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,2,3,CBlock,3,3,2,3,188,5,668,204,1060,GasA,4,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,Attchd,1,1,270,3,3,Y,406,90,0,0,0,0,WD,Normal,154000,42,9,42.0,0
20,RL,14230,3,Lvl,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,2,PConc,4,3,1,1,0,1,0,1566,1566,GasA,4,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,3,7,Typ,1,Attchd,2,3,890,3,3,Y,0,56,0,0,0,0,WD,Normal,256300,3,3,3.0,1
20,RL,7200,3,Lvl,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,4,234,3,486,180,900,GasA,2,1,SBrkr,900,0,0,900,0,1,1,0,3,1,3,5,Typ,0,Detchd,1,2,576,3,3,Y,222,32,0,0,0,0,WD,Normal,134800,59,10,5.0,0
20,RL,11478,3,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,2,PConc,5,3,1,6,1218,1,0,486,1704,GasA,4,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,3,7,Typ,1,Attchd,2,3,772,3,3,Y,0,50,0,0,0,0,WD,Normal,306000,3,2,2.0,0
20,RL,16321,0,Lvl,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,2,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,2,6,Typ,2,Attchd,2,1,319,3,3,Y,288,258,0,0,0,0,WD,Normal,207500,53,13,53.0,4
30,RM,6324,0,Lvl,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,1,0,1,0,520,520,GasA,1,0,SBrkr,520,0,0,520,0,0,1,0,1,1,1,4,Typ,0,Detchd,1,1,240,2,3,Y,49,0,87,0,0,0,WD,Normal,68500,83,60,90.0,2
70,C (all),8500,3,Lvl,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,1,BrkTil,3,3,1,1,0,1,0,649,649,GasA,2,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,2,6,Typ,0,Detchd,1,1,250,3,2,N,0,54,172,0,0,0,WD,Normal,40000,90,60,90.0,2
20,RL,8544,0,Lvl,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,3,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,3,6,Typ,0,Attchd,1,1,271,3,3,Y,0,65,0,0,0,0,WD,Normal,149350,44,4,44.0,2
20,RL,11049,3,Lvl,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,3,1,0,1,0,1234,1234,GasA,4,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,3,7,Typ,0,Attchd,2,2,484,3,3,Y,0,30,0,0,0,0,WD,Normal,179900,3,3,3.0,2
20,RL,10552,0,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,2,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,3,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,3,6,Typ,1,Attchd,2,2,447,3,3,Y,0,38,0,0,0,0,WD,Normal,165500,51,51,51.0,0
120,RL,7313,3,Lvl,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,2,PConc,5,3,1,6,1153,1,0,408,1561,GasA,4,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,4,6,Typ,1,Attchd,3,2,556,3,3,Y,203,47,0,0,0,0,WD,Normal,277500,5,5,5.0,3
60,RL,13418,3,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,2,PConc,5,3,3,1,0,1,0,1117,1117,GasA,4,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,3,9,Typ,1,BuiltIn,3,3,691,3,3,Y,113,32,0,0,0,0,WD,Normal,309000,6,5,6.0,4
20,RL,10859,3,Lvl,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,1,0,1,0,1097,1097,GasA,4,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,2,6,Typ,0,Attchd,1,2,672,3,3,Y,392,64,0,0,0,0,WD,Normal,145000,16,15,15.0,1
20,RL,8532,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,2,2,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,3,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,2,5,Typ,1,Attchd,3,2,498,3,3,Y,0,0,0,0,0,0,WD,Normal,153000,56,20,56.0,1
20,RL,7922,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,6,731,1,0,326,1057,GasA,2,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,3,5,Typ,0,Detchd,1,1,246,3,3,Y,0,52,0,0,0,0,WD,Abnorml,109000,57,3,57.0,0
90,RL,6040,3,Lvl,Inside,0,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,2,2,PConc,3,3,1,1,0,1,0,0,0,GasA,2,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,1,6,Typ,0,Attchd,1,0,0,3,3,N,0,0,0,0,0,0,WD,AdjLand,82000,55,55,-1.0,2
20,RL,8658,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,2,2,CBlock,3,3,1,3,643,1,0,445,1088,GasA,4,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,2,6,Typ,1,Attchd,2,2,440,3,3,Y,0,138,0,0,0,0,WD,Abnorml,160000,45,45,45.0,4
20,RL,16905,3,Lvl,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,4,4,967,1,0,383,1350,GasA,3,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,2,5,Typ,2,Attchd,2,1,308,3,3,P,0,104,0,0,0,0,WD,Normal,170000,51,51,51.0,3
85,RL,9180,0,Lvl,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,3,5,747,2,93,0,840,GasA,3,1,SBrkr,884,0,0,884,1,0,1,0,2,1,3,5,Typ,0,Attchd,2,2,504,3,4,Y,240,0,0,0,0,0,WD,Normal,144000,27,27,27.0,3
20,RL,9200,0,Lvl,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,3,3,2,280,4,491,167,938,GasA,2,1,SBrkr,938,0,0,938,1,0,1,0,3,1,2,5,Typ,0,Detchd,1,1,308,3,3,Y,145,0,0,0,0,0,WD,Normal,130250,35,30,33.0,2
20,RL,7945,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,5,179,4,506,465,1150,GasA,4,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,2,6,Typ,0,Attchd,2,1,300,3,3,Y,0,0,0,0,0,0,WD,Normal,141000,51,51,51.0,4
120,RL,7658,3,Lvl,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,4,2,PConc,5,3,1,6,456,1,0,1296,1752,GasA,4,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,4,6,Typ,1,Attchd,2,2,576,3,3,Y,196,82,0,0,0,0,WD,Normal,319900,5,5,5.0,0
50,RL,12822,0,Lvl,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,1,6,1351,1,0,83,1434,GasA,4,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,3,6,Typ,1,Attchd,2,2,670,3,3,Y,168,43,0,0,198,0,WD,Abnorml,239686,7,7,7.0,1
20,FV,11096,3,Lvl,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,24,1,0,1632,1656,GasA,4,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,3,7,Typ,0,Attchd,2,3,826,3,3,Y,0,146,0,0,0,0,WD,Normal,249700,4,4,4.0,3
190,RM,4456,3,Lvl,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,1,0,1,0,736,736,GasA,3,1,SBrkr,736,716,0,1452,0,0,2,0,2,3,2,8,Typ,0,Attchd,1,0,0,3,3,N,0,0,102,0,0,0,New,Partial,113000,90,2,-1.0,1
20,RL,7742,3,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,763,1,0,192,955,GasA,4,1,SBrkr,955,0,0,955,1,0,1,0,3,1,2,6,Typ,0,Attchd,1,1,386,3,3,Y,0,0,0,0,0,0,WD,Normal,127000,44,44,44.0,3
60,RL,13869,1,Lvl,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,3,6,182,1,0,612,794,GasA,3,1,SBrkr,794,676,0,1470,0,1,2,0,3,1,2,6,Typ,0,Attchd,3,2,388,3,3,Y,0,75,0,0,0,0,WD,Normal,177000,13,13,13.0,3
50,RM,6240,3,Lvl,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,1,0,1,0,816,816,GasA,2,1,SBrkr,816,0,360,1176,0,0,1,0,3,1,2,6,Typ,1,Detchd,1,2,528,3,3,Y,112,0,0,0,0,400,WD,Normal,114500,76,60,25.0,4
90,RM,8472,1,Bnk,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,2,CBlock,4,3,4,2,104,6,712,0,816,GasA,2,0,SBrkr,816,0,0,816,1,0,1,0,2,1,2,5,Typ,0,CarPort,1,2,516,3,3,Y,106,0,0,0,0,0,WD,Normal,110000,47,47,47.0,0
20,RL,50271,0,Low,Inside,0,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,None,0.0,3,2,CBlock,5,3,4,6,1810,1,0,32,1842,GasA,3,1,SBrkr,1842,0,0,1842,2,0,0,1,0,1,3,5,Typ,1,Attchd,3,3,894,3,3,Y,857,72,0,0,0,0,WD,Normal,385000,29,23,29.0,4
80,RL,7134,3,Bnk,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,1,5,384,1,0,0,384,GasA,2,1,SBrkr,1360,0,0,1360,0,0,1,0,3,1,2,6,Min1,1,Detchd,1,2,572,3,3,Y,0,50,0,0,0,0,WD,Normal,130000,55,55,48.0,3
20,RL,10175,0,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,2,2,CBlock,3,3,1,4,490,1,0,935,1425,GasA,3,1,SBrkr,1425,0,0,1425,0,0,2,0,3,1,2,7,Typ,1,Attchd,2,2,576,3,3,Y,0,0,0,407,0,0,WD,Normal,180500,46,46,46.0,2
160,FV,2645,3,Lvl,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,4,3,1,6,649,1,0,321,970,GasA,4,1,SBrkr,983,756,0,1739,1,0,2,1,3,1,3,7,Typ,0,Attchd,3,2,480,3,3,Y,115,0,0,0,0,0,WD,Abnorml,172500,11,10,11.0,1
60,RL,11645,0,Lvl,Corner,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0,1,0,860,860,GasA,4,1,SBrkr,860,860,0,1720,0,0,2,1,3,1,3,7,Typ,0,Attchd,2,2,565,3,3,Y,0,70,0,0,0,0,WD,Normal,196500,6,6,6.0,4
60,RL,13682,1,HLS,CulDSac,0,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,4,2,PConc,5,3,4,1,0,1,0,1410,1410,GasA,4,1,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,3,10,Typ,1,BuiltIn,3,3,641,3,3,Y,192,0,37,0,0,0,New,Partial,438780,4,4,4.0,4
20,RL,7200,3,Bnk,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,3,5,632,1,0,148,780,GasA,4,1,SBrkr,780,0,0,780,0,0,1,0,2,1,2,4,Typ,0,Detchd,1,1,352,3,3,Y,196,0,0,0,0,0,WD,Normal,124900,38,38,37.0,2
20,RL,13072,3,Lvl,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,5,941,1,0,217,1158,GasA,4,1,SBrkr,1158,0,0,1158,1,0,1,1,3,1,3,5,Typ,0,Detchd,1,2,576,3,3,Y,0,50,0,0,0,0,New,Partial,158000,6,6,4.0,4
75,RM,7200,3,Lvl,Inside,0,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,2,1,1,0,1,0,530,530,GasA,2,0,SBrkr,581,530,0,1111,0,0,1,0,3,1,1,6,Typ,0,Detchd,1,1,288,3,3,N,0,0,144,0,0,0,WD,Normal,101000,90,14,75.0,3
120,RL,6442,0,Lvl,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,3,2,PConc,4,4,2,6,24,1,0,1346,1370,GasA,4,1,SBrkr,1370,0,0,1370,0,0,2,0,2,1,3,6,Typ,1,Attchd,2,2,484,3,3,Y,120,49,0,0,0,0,WD,Normal,202500,4,4,4.0,3
70,RM,10300,0,Bnk,Inside,0,OldTown,RRAn,Feedr,1Fam,2Story,7,6,Gable,CompShg,Stucco,Stucco,None,0.0,2,2,BrkTil,3,3,1,1,0,1,0,576,576,GasA,3,1,SBrkr,902,808,0,1710,0,0,2,0,3,1,2,9,Typ,0,Detchd,1,2,480,3,3,Y,12,11,64,0,0,0,WD,Normal,140000,89,60,20.0,0
